place_id,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
2039,Pemex,Boulevard de los Insurgentes,El Porvenir,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22223
2040,,MEX 45,,,Nopala de Villagrán,Hidalgo,MX-HID,
2041,Pemex E02526,Avenida Licenciado Adolfo López Mateos,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,94158
2042,Pemex,Anillo Periférico Norte Manuel Gómez Morín,,Guadalajara,,Jalisco,MX-JAL,44390
2043,,,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2044,Chevron,Calle Amsterdam,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22523
2045,,Libramiento Topolobampo,,,Ahome,Sinaloa,MX-SIN,81260
2046,Petro Seven,Carretera a Colombia,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66059
2047,,Avenida Reforma,,Ensenada,Municipio de Ensenada,Baja California,MX-BCN,22880
2048,Pemex,Boulevard Popotla,,,Municipio de Playas de Rosarito,Baja California,MX-BCN,22700
2049,Petro Seven,Avenida Maestro Israel Cavazos Garza,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67193
2050,Pemex,Boulevard Harold R. Pape,,Monclova,Monclova,Coahuila,MX-COA,25700
2051,,Avenida Lauro Villar,,Matamoros,Municipio de Matamoros,Tamaulipas,MX-TAM,87450
2052,Pemex,Carretera San Blas-Santa Cruz,,,San Blas,Nayarit,MX-NAY,63778
2053,Chevron,Boulevard General Rodolfo Sánchez Taboada,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22000
2054,,Avenida Via Gustavo Baz,,Tlalnepantla,Tlalnepantla de Baz,Estado de México,MX-MEX,54764
2055,Pemex,Agua Blanca,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67150
2056,,Boulevard Juan Sabines,,San Cristóbal de las Casas,San Cristóbal de las Casas,Chiapas,MX-CHP,29200
2057,PEMEX,Carretera Reynosa-Ciudad Río Bravo,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2058,,Predio de Los Arroyos,,Durango,Municipio de Durango,Durango,MX-DUR,34287
2059,,Boulevard Ramos Arizpe,,,Ramos Arizpe,Coahuila,MX-COA,
2060,Pemex,Calle Vialidad Los Nogales,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31137
2061,,,,,Tonaya,Jalisco,MX-JAL,48760
2062,Akrontech,Carretera Tijuana-Rosarito,,,Municipio de Tijuana,Baja California,MX-BCN,22670
2063,Gulf,Avenida Diego Díaz de Berlanga,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,MX-NLE,66443
2064,Chevron,Calle Salvador Díaz Mirón,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22050
2065,,Carretera Saltillo-Monterrey,,,Santa Catarina,Nuevo León,MX-NLE,66360
2066,Chevron,Boulevard Cuauhtémoc Sur,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22045
2067,Petro Seven,Avenida Coahuila,,,Guadalupe,Nuevo León,MX-NLE,67255
2068,,Boulevard Doctor Jesús Valdez Sánchez,,Saltillo,Saltillo,Coahuila,MX-COA,25297
2069,Coco Bongo,Calle Central,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2070,,Carretera Libre Colima - Manzanillo,Nuevo Cuyutlán,,Manzanillo,Colima,MX-COL,28880
2071,Pemex,Calzada de Tlalpan,,,,Ciudad de México,MX-CMX,
2072,Pemex,Boulevard Adolfo Ruiz Cortines,,,,Ciudad de México,MX-CMX,
2073,,Calle Santos Degollado,,Los Mochis,Ahome,Sinaloa,MX-SIN,81293
