place_id,name,cree_id,latitude,longitude,regular,premium,diesel,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
2039,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",PL/658/EXP/ES/2015,32.47641,-116.9214,22.49,24.99,21.99,Pemex,Boulevard de los Insurgentes,El Porvenir,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22223
2040,"LAS MEJORES ESTACIONES, S.A DE C.V",PL/902/EXP/ES/2015,20.3037,-99.74484,21.25,23.19,23.09,,MEX 45,,,Nopala de Villagrán,Hidalgo,MX-HID,
2041,"DIAZ GAS, S.A. DE C.V.",PL/760/EXP/ES/2015,31.71947,-106.4514,17.28,19.2,22.937577935115712,Pemex E02526,Avenida Licenciado Adolfo López Mateos,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,94158
2042,"COMBU-EXPRESS, S.A. DE C.V.",PL/825/EXP/ES/2015,20.71413,-103.3042,21.79,24.39,23.54,Pemex,Anillo Periférico Norte Manuel Gómez Morín,,Guadalajara,,Jalisco,MX-JAL,44390
2043,"PETROMAX, S.A. DE C.V.",PL/585/EXP/ES/2015,26.03787,-98.29977,17.79,19.99,22.937577935115712,,,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2044,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/842/EXP/ES/2015,32.51342,-117.0715,22.29,24.99,22.937577935115712,Chevron,Calle Amsterdam,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22523
2045,MULTISERVICIOS LA PILARICA SA DE CV ,PL/371/EXP/ES/2015,25.7558,-108.9685,22.91,24.07,25.35,,Libramiento Topolobampo,,,Ahome,Sinaloa,MX-SIN,81260
2046,"PETROMAX, S.A. DE C.V.",PL/439/EXP/ES/2015,25.77202,-100.2918,22.99,25.39,23.29,Petro Seven,Carretera a Colombia,,General Escobedo,General Escobedo,Nuevo León,MX-NLE,66059
2047,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/860/EXP/ES/2015,31.86546,-116.6079,21.39,23.99,22.29,,Avenida Reforma,,Ensenada,Municipio de Ensenada,Baja California,MX-BCN,22880
2048,"ESTACION PIRU, S.A. DE C.V.",PL/897/EXP/ES/2015,32.31202,-117.0457,21.33,23.29,22.937577935115712,Pemex,Boulevard Popotla,,,Municipio de Playas de Rosarito,Baja California,MX-BCN,22700
2049,"PETROMAX, S.A. DE C.V.",PL/561/EXP/ES/2015,25.65562,-100.184,22.69,25.39,23.29,Petro Seven,Avenida Maestro Israel Cavazos Garza,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67193
2050,AUTOSERVICIO BERLANGA S.A. DE C.V.,PL/797/EXP/ES/2015,26.92554,-101.4189,22.9,24.49,22.937577935115712,Pemex,Boulevard Harold R. Pape,,Monclova,Monclova,Coahuila,MX-COA,25700
2051,"PETROMAX, S.A. DE C.V.",PL/583/EXP/ES/2015,25.83842,-97.44485,18.69,16.6,22.99,,Avenida Lauro Villar,,Matamoros,Municipio de Matamoros,Tamaulipas,MX-TAM,87450
2052,"GRUPO OCTANO, S.A. DE C.V.",PL/366/EXP/ES/2015,21.4739,-105.1947,22.99,23.37142058923129,23.89,Pemex,Carretera San Blas-Santa Cruz,,,San Blas,Nayarit,MX-NAY,63778
2053,"CIRCULO DOS, S.A. DE C.V.",PL/635/EXP/ES/2015,32.5279,-117.0271,22.29,24.99,22.937577935115712,Chevron,Boulevard General Rodolfo Sánchez Taboada,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22000
2054,"Servicio Sevilla, S.A. de C.V.",PL/868/EXP/ES/2015,19.58616,-99.1973,22.39,24.49,22.937577935115712,,Avenida Via Gustavo Baz,,Tlalnepantla,Tlalnepantla de Baz,Estado de México,MX-MEX,54764
2055,"PETROMAX, S.A. DE C.V.",PL/558/EXP/ES/2015,25.6788,-100.2365,22.49,25.39,22.937577935115712,Pemex,Agua Blanca,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67150
2056,"GASOLINERA HUITEPEC, S.A. DE C.V.",PL/887/EXP/ES/2015,16.73187,-92.65437,21.73,23.4,22.94,,Boulevard Juan Sabines,,San Cristóbal de las Casas,San Cristóbal de las Casas,Chiapas,MX-CHP,29200
2057,"PETROMAX, S.A. DE C.V.",PL/454/EXP/ES/2015,26.0139,-98.20425,17.79,19.99,22.937577935115712,PEMEX,Carretera Reynosa-Ciudad Río Bravo,,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
2058,"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.",PL/890/EXP/ES/2015,24.02956,-104.6217,21.99,24.29,23.79,,Predio de Los Arroyos,,Durango,Municipio de Durango,Durango,MX-DUR,34287
2059,SERVICIO SIERRA DE ARTEAGA SA DE CV,PL/756/EXP/ES/2015,25.57358,-100.9057,23.18,25.28,23.85,,Boulevard Ramos Arizpe,,,Ramos Arizpe,Coahuila,MX-COA,
2060,COMBUSTIBLES Y LUBRICANTES ATENAS SA DE CV,PL/795/EXP/ES/2015,28.73367,-106.1008,21.99,23.99,24.5,Pemex,Calle Vialidad Los Nogales,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31137
2061,"GRUPO OCTANO, S.A. DE C.V.",PL/505/EXP/ES/2015,19.77838,-103.9754,22.44,23.59,23.34,,,,,Tonaya,Jalisco,MX-JAL,48760
